ctry,isic,year,rca
aus,c71,1995,0
vnm,c72,2008,0
vnm,c75,2005,0
kor,c72,1995,0
sau,c85,2000,0
rus,c28,1995,0
est,c31,1995,0
svn,c35,2008,0
bra,c80,1995,0
row,c45,2000,0
idn,c70,2005,0
deu,c71,2005,0
arg,c71,2005,0
bra,c35,2008,0
tur,c31,2000,0
esp,c71,2008,0
rou,c70,2008,0
rus,c71,2005,0
irl,c36t37,2008,0
vnm,c45,2005,0
bra,c72,2008,0
chl,c45,2000,0
arg,c55,2005,0
svk,c35,2008,0
brn,c26,2000,0
arg,c71,2008,0
tha,c90t93,2008,0
prt,c31,2005,0
zaf,c29,2008,0
ltu,c28,1995,0
est,c71,1995,0
bra,c28,2008,0
bel,c71,2008,0
svk,c72,2008,0
sau,c72,1995,0
esp,c28,2008,0
mys,c72,2008,0
irl,c70,2005,0
vnm,c71,2008,0
rus,c35,2005,0
phl,c71,2000,0
chl,c35,2008,0
idn,c72,2008,0
phl,c75,2000,0
mlt,c40t41,2008,0
mys,c71,2005,0
jpn,c45,1995,0
isl,c70,1995,0
est,c71,2008,0
sau,c72,2008,0
aus,c72,1995,0
khm,c45,2005,0
zaf,c35,2005,0
vnm,c72,2000,0
phl,c80,2008,0
sau,c75,2008,0
zaf,c80,2005,0
ind,c75,2005,0
mlt,c27,1995,0
hun,c28,2008,0
dnk,c72,2008,0
mys,c72,2005,0
dnk,c28,2000,0
phl,c90t93,2005,0
tha,c72,2008,0
idn,c45,2000,0
bra,c85,1995,0
mex,c28,2000,0
lva,c23,2000,0
jpn,c70,2008,0
brn,c40t41,2000,0
mex,c28,2008,0
zaf,c21t22,2008,0
fra,c55,2000,0
svn,c28,2008,0
chl,c303233,2005,0
can,c31,1995,0
cze,c72,2008,0
fra,c70,2008,0
brn,c71,2000,0
jpn,c40t41,2008,0
zaf,c28,2005,0
phl,c75,2008,0
brn,c75,2005,0
grc,c28,2005,0
est,c72,2008,0
tur,c31,2005,0
chn,c70,1995,0
mlt,c72,2008,0
chl,c303233,2008,0
bel,c35,2008,0
mex,c35,1995,0
vnm,c71,2000,0
phl,c40t41,2008,0
ind,c71,2005,0
kor,c71,2008,0
gbr,c31,2008,0
ind,c31,1995,0
pol,c28,2008,0
isl,c85,2005,0
rou,c75,2008,0
row,c45,2005,0
ind,c72,1995,0
jpn,c70,2000,0
aus,c71,2008,0
rus,c28,2008,0
fin,c45,2000,0
kor,c72,2008,0
esp,c35,2008,0
phl,c90t93,2000,0
fra,c45,1995,0
sau,c73t74,1995,0
