ctry,isic,year,nat_res_exp_sha_t_3,trca,avg_gdppc,pop
rou,c01t05,2000,.0285166,1.314393,4940.996,22.334
hkg,c10t14,2011,.0010248,.0014903,27678.18,7.112
mex,c73t74,1995,.1130966,.1343615,7796.025,94.495
nzl,c73t74,2005,.0966734,1.223988,26658.4,4.142
sgp,c21t22,2000,.0019821,.6946347,29983.94,4.028
tun,c31,2000,.0761208,2.344181,3325.969,9.553
phl,c10t14,1995,.0229963,.1552254,1250.67,68.41
sau,c15t16,2000,.7592463,.1183182,14075.39,20.474
swe,c50t52,2005,.0129216,.9909636,41830.47,9.048
brn,c45,2005,.8877175,4.03818,25809.8,.359
svk,c55,2000,.0167601,.6130992,12376.19,5.377
svk,c80,2008,.0217583,.3557977,12376.19,5.396
gbr,c80,2000,.0609867,2.428694,37949.07,58.886
col,c28,2011,.5170423,.2271329,3632.116,46.045
swe,c55,1995,.0115984,.4094549,41830.47,8.837
bel,c70,2000,.0137547,.5734865,36196.01,10.239
lva,c95,2008,.0542946,,7167.697,2.192
jpn,c73t74,2011,.001391,.3069729,35227.1,127.896
phl,c36t37,1995,.0229963,.9476445,1250.67,68.41
bel,c60t63,2008,.013504,1.569303,36196.01,10.667
idn,c10t14,1995,.2187577,4.874344,1369.773,194.755
fra,c40t41,2000,.0258191,2.833483,34197.66,58.858
swe,c95,1995,.0115984,,41830.47,8.837
deu,c20,2005,.008285,.7930058,35470.16,82.438
ltu,c50t52,2005,.0334876,.9882408,7746.578,3.323
isr,c31,2008,.0413756,.5451676,21459.01,7.307
phl,c24,1995,.0229963,.1558073,1250.67,68.41
tur,c60t63,2008,.0303445,1.365981,7122.406,71.052
mlt,c15t16,2008,.0180064,.5683099,15195.1,.408
che,c64,2008,.0006961,1.26537,55462.7,7.593
can,c303233,2005,.1663045,.2972686,34929.9,32.203
swe,c10t14,1995,.0115984,.1733188,41830.47,8.837
swe,c20,2008,.0156882,3.38628,41830.47,9.256
swe,c72,2000,.0095104,1.73691,41830.47,8.883
phl,c15t16,1995,.0229963,.8840338,1250.67,68.41
col,c45,1995,.4463149,.5749202,3632.116,37.49
col,c70,2000,.3559336,.6244531,3632.116,40.296
tun,c45,2005,.0863808,2.494116,3325.969,10.029
